"numGeoids","profile","category","variable","base","estimate","moe","cv","percent","percent_moe","is_reliable","comparison_estimate","comparison_moe","comparison_cv","comparison_percent","comparison_percent_moe","comparison_is_reliable","difference_estimate","difference_moe","difference_reliable","difference_percent","difference_percent_moe","difference_percent_reliable"
"","demographic","mutually_exclusive_race_hispanic_origin","asnnh","Pop_2","7736","859.548718805397","6.75442111570424","0.273472850678733","0.028077325424743","true","1188404","2990","0.2","0.139","0.001","true","-1180668","3111.0969126660134","true","13.447285067873299","2.809512774498311","true"
"","demographic","mutually_exclusive_race_hispanic_origin","blnh","Pop_2","4204","569.463782869464","8.23450502878231","0.148614253393665","0.0191154620763399","true","1885890","3313","0.1","0.22","0.001","true","-1881686","3361.585637760847","true","-7.1385746606335","1.914160104045607","true"
"","demographic","mutually_exclusive_race_hispanic_origin","hsp1","Pop_2","12331","1191.14734604918","5.87220606699441","0.435909219457014","0.0378179324485552","true","2491496","0","0","0.291","0","true","-2479165","1191.14734604918","true","14.490921945701398","3.78179324485552","true"
"","demographic","mutually_exclusive_race_hispanic_origin","nhpinh","Pop_2","0","0","","0","0","false","2819","409","8.8","0","0.001","true","-2819","409","true","0","0.1",""
"","demographic","mutually_exclusive_race_hispanic_origin","nhsp","Pop_2","15957","1037.55722733736","3.95270963715504","0.564090780542986","0.0277691818938769","true","6068576","0","0","0.709","0","true","-6052619","1037.55722733736","true","-14.490921945701388","2.77691818938769","true"
"","demographic","mutually_exclusive_race_hispanic_origin","othnh","Pop_2","2034","585.102555113204","17.4869933056939","0.0719032805429864","0.0204570103767093","true","74287","3187","2.6","0.009","0.001","true","-72253","3240.264495376882","true","6.290328054298641","2.0481437292162674","true"
"","demographic","mutually_exclusive_race_hispanic_origin","pop_2","Pop_2","28288","1201.64179354748","2.58230109397452","1","0","true","8560072","0","0","1","0","true","-8531784","1201.64179354748","true","0","0",""
"","demographic","mutually_exclusive_race_hispanic_origin","rc2plnh","Pop_2","594","251.632668785275","25.7522201534366","0.0209983031674208","0.00885055085291688","false","154957","3896","1.5","0.018","0.001","true","-154363","3904.1176980208984","true","0.29983031674208016","0.8906865352079131","false"
"","demographic","mutually_exclusive_race_hispanic_origin","wtnh","Pop_2","1334","298.251571663923","13.5913003223581","0.0471578054298643","0.0103513448523278","true","2747159","1907","0","0.321","0.001","true","-2745825","1930.1821157600648","true","-27.38421945701357","1.0399535578659906","true"
"","demographic","poppyramid_only","fpop0t5","Pop","1233","282.412818405964","13.9237246445132","0.0435873868778281","0.0098102885026616","true","273543","211","0","0.032","0","true","-272310","352.5308497138938","true","1.1587386877828099","0.98102885026616","false"
"","demographic","poppyramid_only","fpop10t14","Pop","627","155.20309275269","15.0475892587067","0.0221648755656109","0.00540514273247322","true","228745","2625","0.7","0.027","0","true","-228118","2629.584187661616","true","-0.4835124434389102","0.540514273247322","false"
"","demographic","poppyramid_only","fpop15t19","Pop","679","158.372977493005","14.1789935577535","0.0240031108597285","0.00550496147045086","true","233646","266","0.1","0.027","0","true","-232967","309.577130938317","true","-0.29968891402715014","0.550496147045086","false"
"","demographic","poppyramid_only","fpop20t24","Pop","765","163.783393541592","13.0149507155049","0.0270432692307692","0.0056747462548341","true","310915","3027","0.6","0.036","0","true","-310150","3031.4277164398954","true","-0.8956730769230794","0.56747462548341","false"
"","demographic","poppyramid_only","fpop25t29","Pop","1476","266.947560393423","10.9944547571034","0.0521776018099548","0.0091727935526724","true","413356","182","0","0.048","0","true","-411880","323.0866756769771","true","0.4177601809954803","0.9172793552672399","false"
"","demographic","poppyramid_only","fpop30t34","Pop","1320","228.203856233851","10.5095263992747","0.0466628959276018","0.00781984829978478","true","372379","240","0","0.044","0","true","-371059","331.1751802294371","true","0.26628959276018005","0.781984829978478","false"
"","demographic","poppyramid_only","fpop35t39","Pop","1042","186.764557665527","10.8958431392475","0.036835407239819","0.00641415538243092","true","317872","3206","0.6","0.037","0","true","-316830","3211.435348874394","true","0","0.6414155382430919",""
"","demographic","poppyramid_only","fpop40t44","Pop","933","195.253681143276","12.7218914143203","0.0329821832579186","0.00675866182538314","true","288621","3262","0.7","0.034","0","true","-287688","3267.8384292984865","true","-0.10178167420814033","0.675866182538314","false"
"","demographic","poppyramid_only","fpop45t49","Pop","1021","195.261363305699","11.6258488641685","0.0360930429864253","0.00673019403917737","true","288054","186","0","0.034","0","true","-287033","269.6720230205577","true","0.20930429864252975","0.673019403917737","false"
"","demographic","poppyramid_only","fpop50t54","Pop","934","199.909979740882","13.0113301446133","0.0330175339366516","0.00692637663816995","true","291684","194","0","0.034","0","true","-290750","278.5677655436821","true","-0.09824660633484061","0.692637663816995","false"
"","demographic","poppyramid_only","fpop55t59","Pop","740","157.787832230499","12.962115520455","0.0261595022624434","0.00546609766327366","true","276383","2816","0.6","0.032","0","true","-275643","2820.4171677253703","true","-0.5840497737556598","0.5466097663273659","false"
"","demographic","poppyramid_only","fpop5t9","Pop","828","176.141988179991","12.9320285582126","0.0292703619909502","0.00610133625343401","true","238356","2607","0.7","0.028","0","true","-237528","2612.943742218726","true","0.1270361990950195","0.610133625343401","false"
"","demographic","poppyramid_only","fpop60t64","Pop","642","151.099305094365","14.307426932777","0.0226951357466063","0.0052537423587389","true","254246","3274","0.8","0.03","0","true","-253604","3277.4848588513723","true","-0.7304864253393699","0.52537423587389","false"
"","demographic","poppyramid_only","fpop65t69","Pop","680","160.087476087294","14.3114139180488","0.0240384615384615","0.0055663144333199","true","212645","2838","0.8","0.025","0","true","-211965","2842.511565499778","true","-0.09615384615384981","0.55663144333199","false"
"","demographic","poppyramid_only","fpop70t74","Pop","364","115.126017910809","19.2267640720815","0.0128676470588235","0.0040329093612701","true","155986","2132","0.8","0.018","0","true","-155622","2135.1060863573034","true","-0.5132352941176499","0.40329093612701","false"
"","demographic","poppyramid_only","fpop75t79","Pop","395","125.023997696442","19.2411215723046","0.0139635180995475","0.0043796994687761","true","120244","1851","0.9","0.014","0","true","-119849","1855.2175074637476","true","0","0.43796994687761004",""
"","demographic","poppyramid_only","fpop80t84","Pop","165","70.1712191713953","25.8528946012325","0.00583286199095023","0.00246819486176574","false","90538","1769","1.2","0.011","0","true","-90373","1770.3911997070027","true","-0.5167138009049769","0.24681948617657398","false"
"","demographic","poppyramid_only","fpop85pl","Pop","162","76.694197955256","28.7793905794799","0.00572680995475113","0.00270025597475908","false","112952","1729","0.9","0.013","0","true","-112790","1730.7001473392206","true","-0.7273190045248871","0.270025597475908","false"
"","demographic","poppyramid_only","mpop0t5","Pop","1273","280.916357658289","13.4147543035879","0.0450014140271493","0.00974485761475949","true","286815","255","0.1","0.034","0","true","-285542","379.392936149317","true","1.1001414027149297","0.9744857614759491","false"
"","demographic","poppyramid_only","mpop10t14","Pop","1085","204.624045507853","11.4646559471014","0.0383554864253394","0.007047719064768","true","238120","2645","0.7","0.028","0","true","-237035","2652.9033152378547","true","1.0355486425339393","0.7047719064768","false"
"","demographic","poppyramid_only","mpop15t19","Pop","651","146.495733726276","13.6797476621215","0.0230132918552036","0.0050856188512783","true","237108","253","0.1","0.028","0","true","-236457","292.3525269259699","true","-0.49867081447964035","0.50856188512783","false"
"","demographic","poppyramid_only","mpop20t24","Pop","923","173.513688220843","11.4278922781101","0.0326286764705882","0.00597517812700187","true","294914","3056","0.6","0.034","0","true","-293991","3060.921919945035","true","-0.1371323529411801","0.597517812700187","false"
"","demographic","poppyramid_only","mpop25t29","Pop","1282","267.323773727665","12.6760416013953","0.0453195701357466","0.00925191074274633","true","385994","196","0","0.045","0","true","-384712","331.4785060905154","true","0.031957013574659854","0.925191074274633","false"
"","demographic","poppyramid_only","mpop30t34","Pop","1453","276.862781897459","11.5833201989578","0.051364536199095","0.00954097874942296","true","355890","237","0","0.042","0","true","-354437","364.4475270872337","true","0.9364536199094999","0.9540978749422959","false"
"","demographic","poppyramid_only","mpop35t39","Pop","1036","204.369762929842","11.991982427729","0.0366233031674208","0.00705512120580219","true","298925","3097","0.6","0.035","0","true","-297889","3103.735813499596","true","0.16233031674207998","0.705512120580219","false"
"","demographic","poppyramid_only","mpop40t44","Pop","1122","234.748801913876","12.7187556910356","0.0396634615384615","0.0081256903617184","true","272000","3094","0.7","0.032","0","true","-270878","3102.8926826430848","true","0.76634615384615","0.81256903617184","false"
"","demographic","poppyramid_only","mpop45t49","Pop","776","170.22925717984","13.3354163804593","0.0274321266968326","0.00590381754388178","true","266690","276","0.1","0.031","0","true","-265914","324.27457501321334","true","-0.3567873303167399","0.5903817543881781","false"
"","demographic","poppyramid_only","mpop50t54","Pop","1028","194.033502261852","11.4740755657311","0.0363404977375566","0.0066832496777095","true","264243","158","0","0.031","0","true","-263215","250.22589794024142","true","0.5340497737556595","0.66832496777095","false"
"","demographic","poppyramid_only","mpop55t59","Pop","832","201.034822854151","14.6886561005196","0.0294117647058824","0.00699603368112421","true","241263","2555","0.6","0.028","0","true","-240431","2562.8967985465197","true","0.14117647058823968","0.699603368112421","false"
"","demographic","poppyramid_only","mpop5t9","Pop","901","183.809684184485","12.401599316159","0.0318509615384615","0.0063553740150345","true","247962","2654","0.7","0.029","0","true","-247061","2660.3574947739635","true","0.28509615384614984","0.6355374015034501","false"
"","demographic","poppyramid_only","mpop60t64","Pop","717","138.459380325061","11.7391682097444","0.0253464366515837","0.00477474363812206","true","214080","2767","0.8","0.025","0","true","-213363","2770.46205532579","true","0.03464366515837014","0.477474363812206","false"
"","demographic","poppyramid_only","mpop65t69","Pop","483","135.889661122545","17.1030428014555","0.0170743778280543","0.00474872142176211","true","165377","2055","0.8","0.019","0","true","-164894","2059.4880431796637","true","-0.19256221719456978","0.474872142176211","false"
"","demographic","poppyramid_only","mpop70t74","Pop","251","92.6228913390205","22.4325533946937","0.00887302036199095","0.00325251558663339","false","116631","1860","1","0.014","0","true","-116380","1862.3047548669365","true","-0.5126979638009052","0.325251558663339","false"
"","demographic","poppyramid_only","mpop75t79","Pop","241","100.049987506246","25.2367888373535","0.00851951357466063","0.00351827096288697","false","84197","1597","1.2","0.01","0","true","-83956","1600.1309321427418","true","-0.14804864253393712","0.35182709628869696","false"
"","demographic","poppyramid_only","mpop80t84","Pop","185","82.5893455598239","27.1385346454691","0.00653987556561086","0.00290634237282487","false","57050","1624","1.7","0.007","0","true","-56865","1626.0987054911518","true","0","0.290634237282487",""
"","demographic","poppyramid_only","mpop85pl","Pop","43","51.7880295048962","73.2141507102512","0.00152007918552036","0.00182960290865038","false","52648","1396","1.6","0.006","0","true","-52605","1396.9602714465434","true","-0.447992081447964","0.182960290865038","false"
